,ISBN No.,Candidate Name,Candidate Designation,University,Candidate Title,Chapter Name,fChapter Name,Book Title,Publication Date,Publication Name
1,978-93-94707-12-2,Prof. Nidhi Sharma,Vice Principal,"Prem Institute of Medical Sciences, Baroli, Panipat, Harayana",Contributor,HAI (Hospital Acquired),HAI Hospital Acquired,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
2,978-93-94707-12-2,Ms. Vinodini. S. Chavan,M.Sc Nursing Tutor,"R.B Amin College of Nursing, Vadodara Gujarat",Contributor,HAI (Hospital Acquired),HAI Hospital Acquired,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
3,978-93-94707-12-2,Prof . Lovesampuranjot Kaur,Professor cum HOD Mental Health Nursing,Desh Bhagat University Mandi Gobindgarh,Contributor,Isolation Precautions and use of Personal Protective Equipment (PPE),Isolation Precautions and use of Personal Protective Equipment PPE,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
4,978-93-94707-12-2,Mrs. Chintal Shukla,Assistant Professor,Krishna School of Nursing Drs Kiran & Pallavi Patel Global University,Contributor,Hand Hygiene,Hand Hygiene,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
5,978-93-94707-12-2,Ms. Sunaina Sharma,Assistant Professor,"Silver Oaks college of Nursing, Mohali Punjab",Contributor,Disinfection and Sterilization,Disinfection and Sterilization,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
6,978-93-94707-12-2,Prof. Prabhjot Singh,Professor,Desh Bhagat University Mandi Gobindgarh,Contributor,Specimen Collection,Specimen Collection,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
7,978-93-94707-12-2,Ms. Divya Rani R,Professor HOD Department of OBG Nursing,Institute of Nursing Sciences Srinivas University Mangalore,Contributor,BMW (Bio Medical Waste Management),BMW Bio Medical Waste Management,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
8,978-93-94707-12-2,Ms. Florin Lavina Lasrado,"Assistant Professor, Child Health Nursing Department","Institute of Nursing Sciences, Srinivas University Mangalore",Contributor,BMW (Bio Medical Waste Management),BMW Bio Medical Waste Management,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
9,978-93-94707-12-2,Mrs. Prajakta Pradip Patil,"Principal, M.Sc Nursing(Child Health Nursing)",LTMG Hospital SION Mumbai,Contributor,Antibiotic Stewardship,Antibiotic Stewardship,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
10,978-93-94707-12-2,Mr. Hariprasath Pandurangan,Assistant Professor,"Amity College of Nursing, Amity University Haryana, INDIA",Contributor,Patient Safety Indicators,Patient Safety Indicators,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
11,978-93-94707-12-2,Ms. SarahEzhilKelna Edwin,"Lecturer, Department of Nursing and Midwifery","Institute of Health Bule Hora University, Ethiopia",Contributor,Patient Safety Indicators,Patient Safety Indicators,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
12,978-93-94707-12-2,Dr. Henock Reuben,Professor,Sjb College of Nursing Bgs Global Institute of Medical Sciences Bangalore INDIA,Contributor,Patient Safety Indicators,Patient Safety Indicators,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
13,978-93-94707-12-2,Ms. Priyanka Aritra Dey,Assistant Professor,Krishna School of Nursing KPGU Vadodara Gujarat,Contributor,Patient Safety Indicators,Patient Safety Indicators,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
14,978-93-94707-12-2,Dr. Sanjay S. Shinde,Professor,"Sumandeep Nursing College Sumandeep Vidyapeeth Piparia, Vadodara, Gujarat",Contributor,Incidents and Adverse Events,Incidents and Adverse Events,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
15,978-93-94707-12-2,Dr. Henock Reuben,Professor,Sjb College of Nursing Bgs Global Institute of Medical Sciences Bangalore INDIA,Contributor,IPSG (International Patient Safety Goals),IPSG International Patient Safety Goals,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
16,978-93-94707-12-2,Dr. Anjalatchi Muthukuman,Professor cum Vice Principal and Nursing Superintendent,"Era college of Nursing, Era University, Lucknow U.P.",Contributor,IPSG (International Patient Safety Goals),IPSG International Patient Safety Goals,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
17,978-93-94707-12-2,Ms. SarahEzhilKelna Edwin,"Lecturer, Department of Nursing and Midwifery","Institute of Health Bule Hora University, Ethiopia",Contributor,Safety protocol,Safety protocol,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
18,978-93-94707-12-2,Mr. Anand Talli,"M. Sc. Nursing, Nursing Research Scholar, MS (C&P) PGDHM (NIHFW) DPH Diploma in Community Mental Health (Nursing-NIMHANS)","Nursing Factulty, Department Of Medical Surgical Nursing, Sds Ttc & Rgicd College Of Nursing, Bengaluru",Contributor,Safety protocol,Safety protocol,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
19,978-93-94707-12-2,Lt Col Regina P.F.,Associate Professor,"Nehru College of Nursing, Vaniyamkulam, Panayur, Palakkad, Kerala, INDIA",Contributor,Employee Safety Indicators,Employee Safety Indicators,INFECTION CONTROL & SAFETY,"Friday, November 25, 2022",Xoffencer International Publication
